,MapNumber,Score,matchedTittle,movieTittle,,,,,
350,11489,81,Batman and Robin,Robin and MarianåÊ,,,,,1
351,4563,83,G-Force,Force 10 from NavaroneåÊ,,,,,1
352,3480,100,In Time,Once Upon a Time in the WeståÊ,,,,,1
353,8181,100,Jekyll and Hyde Together Again,Jekyll and Hyde... Together AgainåÊ,,,,,1
354,6575,100,The OH in Ohio,The Oh in OhioåÊ,,,,,1
355,2568,100,Out of the Clear Blue Sky,Out of the BlueåÊ,,,,,1
356,14048,100,Tycoon (2003),TycoonåÊ,,,,,1
357,7719,100,Decoys,DecoysåÊ,,,,,1
358,12629,100,Saving Grace,Saving GraceåÊ            ,,,,,1
359,1335,100,Area 51,Area 51åÊ,,,,,1
360,793,70,Spotlight,Sleep TightåÊ,,,,,0
361,13533,75,The Cockettes,The CottageåÊ,,,,,0
362,3874,100,After,Dead Like Me: Life After DeathåÊ,,,,,1
363,6931,90,March of the Penguins,Farce of the PenguinsåÊ,,,,,1
364,3049,80,Flying Swords of Dragon Gate,Flying ByåÊ,,,,,0
365,8232,71,Psycho II,PsychåÊ            ,,,,,0
366,9509,83,Henry V,Henry & MeåÊ,,,,,1
367,1128,100,Christmas Eve,Christmas EveåÊ,,,,,1
368,5041,76,Give Me Your Hand,We Have Your HusbandåÊ,,,,,0
369,670,100,The Dying of the Light,Dying of the LightåÊ,,,,,1
370,5767,100,WAR,Born of WaråÊ,,,,,1
371,261,67,American Honey,Capricorn OneåÊ,,,,,0
372,3191,72,You've Been Trumped,Should've Been RomeoåÊ,,,,,0
373,6137,100,Forever,Running ForeveråÊ,,,,,1
374,9464,67,Road House,Yoga HosersåÊ,,,,,0
375,9714,100,Navy Seals,Navy Seals vs. ZombiesåÊ,,,,,1
376,3032,100,The Awakening (2012),The AwakeningåÊ,,,,,1
377,7224,69,Gille's Wife,Let's Kill Ward's WifeåÊ,,,,,0
378,6081,100,Billy the Kid,Pat Garrett & Billy the KidåÊ,,,,,1
379,7520,100,Camping Sauvage,Camping sauvageåÊ,,,,,1
380,13512,80,Me Without You,Without MenåÊ,,,,,0
381,2902,100,Barfi!,BarfiåÊ,,,,,1
382,5560,100,All Hat,All HatåÊ,,,,,1
383,6487,100,Water,Treading WateråÊ,,,,,1
384,7860,100,The Blue Lagoon,The Blue LagoonåÊ,,,,,1
385,8109,100,Fast Times at Ridgemont High,Fast Times at Ridgemont HighåÊ,,,,,1
386,12261,100,Dick,Moby DickåÊ,,,,,1
387,11274,100,Secrets & Lies,Secrets and LiesåÊ            ,,,,,1
388,9424,80,State Park,State FairåÊ,,,,,0
389,6221,100,Salvador Allende,SalvadoråÊ,,,,,1
390,4929,67,Fuel,FuglyåÊ,,,,,0
391,9575,71,Best of the Best,R.L. Stine's Monsterville: The Cabinet of SoulsåÊ,,,,,0
392,7826,80,A Silent Love,Silent MovieåÊ,,,,,0
393,1166,67,Aloft,AirliftåÊ,,,,,0
394,181,67,Green Room,Anne of Green GablesåÊ            ,,,,,0
395,2753,89,Argo,CargoåÊ,,,,,1
396,3069,100,High School,High School MusicalåÊ,,,,,1
397,4194,100,Animal Kingdom,Animal KingdomåÊ            ,,,,,1
398,1364,100,The Living,Night of the Living DeadåÊ,,,,,1
399,13549,87,Hansel and Gretel,Hansel & Gretel Get BakedåÊ,,,,,1
400,1364,100,The Living,The Return of the Living DeadåÊ,,,,,1
401,3292,79,The Front Line,The Front PageåÊ,,,,,0
402,1951,73,Raze,TrapezeåÊ,,,,,0
403,12629,100,Saving Grace,Saving GraceåÊ            ,,,,,1
404,1333,82,The Great Man,The Great EscapeåÊ,,,,,1
405,2828,100,The Pirates! Band of Misfits,The MisfitsåÊ,,,,,1
406,4896,75,OPA!,TopazåÊ,,,,,0
407,3605,100,Red State,Red StateåÊ,,,,,1
408,11251,77,Flipper,ZipperåÊ,,,,,0
409,2968,100,Holy Motors,Holy MotorsåÊ,,,,,1
410,12494,100,The Velocity of Gary,The Velocity of GaryåÊ,,,,,1
411,13632,100,Sonny,Sonny with a ChanceåÊ            ,,,,,1
412,3814,100,"Happy, Happy",Another Happy DayåÊ,,,,,1
413,10964,75,To Die For,A Lonely Place to DieåÊ,,,,,0
414,1981,100,Nothing Bad Can Happen,NothingåÊ,,,,,1
